relative_path,status,v0_4_2_bytes,v0_4_2_sha256,v0_4_3_bytes,v0_4_3_sha256
.gitignore,UNCHANGED,331.0,f71142b402596a719648e96c7a1ce33a7bc0f74003b1b526979cb8255e5d1530,331,f71142b402596a719648e96c7a1ce33a7bc0f74003b1b526979cb8255e5d1530
00_protocol/ANALYSIS_PLAN_LOCKED.md,UNCHANGED,3566.0,80388139d21a5c86040243098f089e7a087c88c3dfe580edc63de27c7d019da5,3566,80388139d21a5c86040243098f089e7a087c88c3dfe580edc63de27c7d019da5
00_protocol/BOOTSTRAP_METHOD_AND_GUARDRAILS.md,UNCHANGED,2615.0,e84f4bcb99f411794a8c09e0b9244891b2354933b5bcc2eed0de130bb0dd4265,2615,e84f4bcb99f411794a8c09e0b9244891b2354933b5bcc2eed0de130bb0dd4265
00_protocol/MERGE_DECISION_LOG.md,UNCHANGED,1728.0,62cd9c07bd0c1fce5629a87af1c5ba50f0315f980e6139707529c6844a7045e1,1728,62cd9c07bd0c1fce5629a87af1c5ba50f0315f980e6139707529c6844a7045e1
00_protocol/PROVISIONAL_SCIENTIFIC_FINDINGS.md,UNCHANGED,4836.0,5312747ed0b932d617c3066aeeccd9685b565bd8063ae3c820ab0a9514043948,4836,5312747ed0b932d617c3066aeeccd9685b565bd8063ae3c820ab0a9514043948
00_protocol/ROBUSTNESS_CLOSURE_REPORT.md,UNCHANGED,2929.0,725ce2e37860fd5d5aef6e80f7a14f6431e5192f6356905fcd500a76830984c3,2929,725ce2e37860fd5d5aef6e80f7a14f6431e5192f6356905fcd500a76830984c3
00_protocol/SCOPE_AND_CLAIMS_GUARDRAIL.md,UNCHANGED,1607.0,36bd7b982775a46142a7086db7dda0f1192110a161b1b543746eb80440bb54e6,1607,36bd7b982775a46142a7086db7dda0f1192110a161b1b543746eb80440bb54e6
00_protocol/TARGET_AND_SCOPE_DECISION.md,UNCHANGED,1633.0,b5aa2c16cfceec301f5e9585734c926500b197564f9075ca114999897e996de8,1633,b5aa2c16cfceec301f5e9585734c926500b197564f9075ca114999897e996de8
00_protocol/TECHNICAL_AUDIT_TRAIL_V0_4_2.md,UNCHANGED,12152.0,2a310321b8a7e0381cb635c866824c2e5362235eae84b05daed3ab3a87c64ef5,12152,2a310321b8a7e0381cb635c866824c2e5362235eae84b05daed3ab3a87c64ef5
00_protocol/TECHNICAL_AUDIT_TRAIL_V0_4_3.md,ADDED,,,2774,59ef78ed0eae2477daf96589bcc5751bc1e4120dcc90c3ef621907b9d8a84cb3
00_protocol/UNCERTAINTY_QUANTIFIED_FINDINGS.md,UNCHANGED,1366.0,488ad759a546ea0f9450399992b0858e44a158774769a1bce7511184ae516725,1366,488ad759a546ea0f9450399992b0858e44a158774769a1bce7511184ae516725
00_protocol/VERSION_NOTES_V0_3.md,UNCHANGED,1495.0,6fd1c22b5f740155a69243c29a9581e29c10313f9de1d7ec1caaa9da953058df,1495,6fd1c22b5f740155a69243c29a9581e29c10313f9de1d7ec1caaa9da953058df
00_protocol/VERSION_NOTES_V0_4.md,UNCHANGED,1248.0,5cc47b29bd5b62cb155dd866887cd54ab62c29a8c61a9e25dea5ef121c33dfc5,1248,5cc47b29bd5b62cb155dd866887cd54ab62c29a8c61a9e25dea5ef121c33dfc5
00_protocol/VERSION_NOTES_V0_4_1.md,UNCHANGED,1054.0,167bce50adfda31722595642a05fed43f10d960690317ae41d6cf19d78a3ef63,1054,167bce50adfda31722595642a05fed43f10d960690317ae41d6cf19d78a3ef63
00_protocol/VERSION_NOTES_V0_4_2.md,UNCHANGED,3954.0,08c7f3e54a95b015165a998c514818e5960d384bcfd596c59d38b69c0c3f2691,3954,08c7f3e54a95b015165a998c514818e5960d384bcfd596c59d38b69c0c3f2691
00_protocol/VERSION_NOTES_V0_4_3.md,ADDED,,,1413,ab55b63907346a833408553c55373de6086cc5f04cdaee010f0b7c2420c6b8a7
01_raw_data/README_SOURCES.md,MODIFIED,2137.0,a2ce036149574e88cfa2d770ced0ae3d579e17bed0cb496c3cce14a904165645,2178,4abeeab7811e6eaf135231bca0be6bcbff5b490fb50bb7c2c9d8f65be846bd54
01_raw_data/world_bank/WB_ELECTRICITY_ACCESS_PCT.xls,UNCHANGED,205312.0,dfdf9a6a1d6602ffb383bb1205bfbd1f3193296074d39c797a8aff2c81481017,205312,dfdf9a6a1d6602ffb383bb1205bfbd1f3193296074d39c797a8aff2c81481017
01_raw_data/world_bank/WB_FDI_NET_INFLOWS_CURRENT_USD.xls,UNCHANGED,323072.0,411d3f7d2bcd9571d660c50d68a4ca45db5add41b6d73ced7d795e4b357355b2,323072,411d3f7d2bcd9571d660c50d68a4ca45db5add41b6d73ced7d795e4b357355b2
01_raw_data/world_bank/WB_FDI_NET_INFLOWS_GDP_PCT.xls,UNCHANGED,346112.0,82b1fc49379d9b01d90a44f40cbd133e899bb47a0d401fec1e394c4a7fd1f958,346112,82b1fc49379d9b01d90a44f40cbd133e899bb47a0d401fec1e394c4a7fd1f958
